year,age,total_age,population,birth_rate,death_rate,birth_death_ratio,gender
1960,66.6,69.77073171,180671000,23.7,9.5,2.494736842,0
1961,67.1,70.27073171,183691000,23.3,9.3,2.505376344,0
1962,66.9,70.1195122,186538000,22.4,9.5,2.357894737,0
1963,66.6,69.91707317,189242000,21.7,9.6,2.260416667,0
1964,66.8,70.16585366,191889000,21.1,9.4,2.244680851,0
1965,66.8,70.21463415,194303000,19.4,9.4,2.063829787,0
1966,66.7,70.21219512,196560000,18.4,9.5,1.936842105,0
1967,67,70.56097561,198712000,17.8,9.4,1.893617021,0
1968,66,69.95121951,200706000,17.6,9.8,1.795918367,0
1969,66.8,70.50731707,202677000,17.9,9.5,1.884210526,0
1970,67.1,70.80731707,205052000,18.4,9.5,1.936842105,0
1971,67.4,71.10731707,207661000,17.2,9.3,1.849462366,0
1972,67.4,71.15609756,209896000,15.6,9.4,1.659574468,0
1973,67.6,71.35609756,211909000,14.8,9.3,1.591397849,0
1974,68.2,71.95609756,213854000,14.8,9.1,1.626373626,0
1975,68.8,72.60487805,215973000,14.6,8.8,1.659090909,0
1976,69.1,72.85609756,218035000,14.6,8.8,1.659090909,0
1977,69.5,73.25609756,220239000,15.1,8.6,1.755813953,0
1978,69.6,73.35609756,222585000,15,8.7,1.724137931,0
1979,70,73.80487805,225055000,15.6,8.5,1.835294118,0
1980,70,73.65853659,227225000,15.9,8.8,1.806818182,0
1981,70.3,74.00731707,229466000,15.7,8.6,1.825581395,0
1982,70.8,74.36097561,231664000,15.9,8.5,1.870588235,0
1983,71,74.46341463,233792000,15.5,8.6,1.802325581,0
1984,71.1,74.56341463,235825000,15.7,8.7,1.804597701,0
1985,71.1,74.56341463,237924000,15.7,8.7,1.804597701,0
1986,71.2,74.61463415,240133000,15.5,8.7,1.781609195,0
1987,71.4,74.76585366,242289000,15.5,8.6,1.802325581,0
1988,71.4,74.76585366,244499000,15.9,8.9,1.786516854,0
1989,71.7,75.01707317,246819000,16.2,8.8,1.840909091,0
1990,71.8,75.21463415,249623000,16.7,8.6,1.941860465,0
1991,72,75.36585366,252981000,16.3,8.6,1.895348837,0
1992,72.33,75.64219512,256514000,15.9,8.5,1.870588235,0
1993,72.2,75.4195122,259919000,15.5,8.8,1.761363636,0
1994,72.35,75.57439024,263126000,15.2,8.8,1.727272727,0
1995,72.5,75.62195122,266278000,14.8,8.8,1.681818182,0
1996,73.06,75.99658537,269394000,14.8,8.8,1.681818182,0
1997,73.6,76.42926829,272657000,14.6,8.7,1.67816092,0
1998,73.8,76.5804878,275854000,14.6,8.6,1.697674419,0
1999,73.9,76.58292683,279040000,14.5,8.64,1.678240741,0
2000,74.1,76.63658537,282162411,14.7,8.7,1.689655172,0
2001,74.2,76.73658537,284968955,14.1,8.5,1.658823529,0
2002,74.3,76.83658537,287625193,13.9,8.5,1.635294118,0
2003,74.5,76.98780488,290107933,14.14,8.44,1.67535545,0
2004,74.9,77.33902439,292805298,14.13,8.34,1.694244604,0
2005,74.9,77.33902439,295516599,14,8.26,1.694915254,0
2006,75.1,77.58780488,298379912,14.3,8.1,1.765432099,0
2007,75.4,77.83902439,301231207,14.3,8,1.7875,0
2008,75.5,77.93902439,304093966,14.30095845,8.2,1.744019323,0
2009,75.7,78.0902439,306771529,13.8,8.4,1.642857143,0
2010,75.9,78.24146341,309349689,14,8,1.75,0
1960,73.1,69.77073171,180671000,23.7,9.5,2.494736842,1
1961,73.6,70.27073171,183691000,23.3,9.3,2.505376344,1
1962,73.5,70.1195122,186538000,22.4,9.5,2.357894737,1
1963,73.4,69.91707317,189242000,21.7,9.6,2.260416667,1
1964,73.7,70.16585366,191889000,21.1,9.4,2.244680851,1
1965,73.8,70.21463415,194303000,19.4,9.4,2.063829787,1
1966,73.9,70.21219512,196560000,18.4,9.5,1.936842105,1
1967,74.3,70.56097561,198712000,17.8,9.4,1.893617021,1
1968,74.1,69.95121951,200706000,17.6,9.8,1.795918367,1
1969,74.4,70.50731707,202677000,17.9,9.5,1.884210526,1
1970,74.7,70.80731707,205052000,18.4,9.5,1.936842105,1
1971,75,71.10731707,207661000,17.2,9.3,1.849462366,1
1972,75.1,71.15609756,209896000,15.6,9.4,1.659574468,1
1973,75.3,71.35609756,211909000,14.8,9.3,1.591397849,1
1974,75.9,71.95609756,213854000,14.8,9.1,1.626373626,1
1975,76.6,72.60487805,215973000,14.6,8.8,1.659090909,1
1976,76.8,72.85609756,218035000,14.6,8.8,1.659090909,1
1977,77.2,73.25609756,220239000,15.1,8.6,1.755813953,1
1978,77.3,73.35609756,222585000,15,8.7,1.724137931,1
1979,77.8,73.80487805,225055000,15.6,8.5,1.835294118,1
1980,77.5,73.65853659,227225000,15.9,8.8,1.806818182,1
1981,77.9,74.00731707,229466000,15.7,8.6,1.825581395,1
1982,78.1,74.36097561,231664000,15.9,8.5,1.870588235,1
1983,78.1,74.46341463,233792000,15.5,8.6,1.802325581,1
1984,78.2,74.56341463,235825000,15.7,8.7,1.804597701,1
1985,78.2,74.56341463,237924000,15.7,8.7,1.804597701,1
1986,78.2,74.61463415,240133000,15.5,8.7,1.781609195,1
1987,78.3,74.76585366,242289000,15.5,8.6,1.802325581,1
1988,78.3,74.76585366,244499000,15.9,8.9,1.786516854,1
1989,78.5,75.01707317,246819000,16.2,8.8,1.840909091,1
1990,78.8,75.21463415,249623000,16.7,8.6,1.941860465,1
1991,78.9,75.36585366,252981000,16.3,8.6,1.895348837,1
1992,79.12,75.64219512,256514000,15.9,8.5,1.870588235,1
1993,78.8,75.4195122,259919000,15.5,8.8,1.761363636,1
1994,78.96,75.57439024,263126000,15.2,8.8,1.727272727,1
1995,78.9,75.62195122,266278000,14.8,8.8,1.681818182,1
1996,79.08,75.99658537,269394000,14.8,8.8,1.681818182,1
1997,79.4,76.42926829,272657000,14.6,8.7,1.67816092,1
1998,79.5,76.5804878,275854000,14.6,8.6,1.697674419,1
1999,79.4,76.58292683,279040000,14.5,8.64,1.678240741,1
2000,79.3,76.63658537,282162411,14.7,8.7,1.689655172,1
2001,79.4,76.73658537,284968955,14.1,8.5,1.658823529,1
2002,79.5,76.83658537,287625193,13.9,8.5,1.635294118,1
2003,79.6,76.98780488,290107933,14.14,8.44,1.67535545,1
2004,79.9,77.33902439,292805298,14.13,8.34,1.694244604,1
2005,79.9,77.33902439,295516599,14,8.26,1.694915254,1
2006,80.2,77.58780488,298379912,14.3,8.1,1.765432099,1
2007,80.4,77.83902439,301231207,14.3,8,1.7875,1
2008,80.5,77.93902439,304093966,14.30095845,8.2,1.744019323,1
2009,80.6,78.0902439,306771529,13.8,8.4,1.642857143,1
2010,80.7,78.24146341,309349689,14,8,1.75,1
